Time(s),ThrCmd_HwIO_Value
0,0
0.02,0
0.04,0
0.06,0
0.08,0
0.1,0
0.12,205
0.14,205
0.16,205
0.18,205
0.2,205
0.22,410
0.24,410
0.26,410
0.28,410
0.3,410
0.32,614
0.34,614
0.36,614
0.38,614
0.4,614
0.42,819
0.44,819
0.46,819
0.48,819
0.5,819
0.52,819
0.54,1024
0.56,1024
0.58,1024
0.6,1024
0.62,1024
0.64,1024
0.66,1229
0.68,1229
0.7,1229
0.72,1229
0.74,1229
0.76,1229
0.78,1434
0.8,1434
0.82,1434
0.84,1434
0.86,1434
0.88,1434
0.9,1434
0.92,1434
0.94,1638
0.96,1638
0.98,1638
1,1638
1.02,1638
1.04,1638
1.06,1638
1.08,1638
1.1,1638
1.12,1843
1.14,1843
1.16,1843
1.18,1843
1.2,1843
1.22,1843
1.24,1843
1.26,1843
1.28,1843
1.3,1843
1.32,1843
1.34,1843
1.36,1843
1.38,1843
1.4,1843
1.42,1843
1.44,1843
1.46,1843
1.48,1843
1.5,1843
1.52,1843
1.54,1843
1.56,1843
1.58,1843
1.6,1843
1.62,1843
1.64,1843
1.66,1843
1.68,1843
1.7,1843
1.72,1843
1.74,1843
1.76,1843
1.78,1843
1.8,1843
1.82,1843
1.84,1843
1.86,1843
1.88,1843
1.9,1843
1.92,1843
1.94,1843
1.96,1843
1.98,1843
2,1843
2.02,1843
2.04,1638
2.06,1638
2.08,1638
2.1,1638
2.12,1638
2.14,1638
2.16,1638
2.18,1638
2.2,1638
2.22,1434
2.24,1434
2.26,1434
2.28,1434
2.3,1434
2.32,1434
2.34,1434
2.36,1434
2.38,1229
2.4,1229
2.42,1229
2.44,1229
2.46,1229
2.48,1229
2.5,1024
2.52,1024
2.54,1024
2.56,1024
2.58,1024
2.6,1024
2.62,819
2.64,819
2.66,819
2.68,819
2.7,819
2.72,819
2.74,614
2.76,614
2.78,614
2.8,614
2.82,614
2.84,410
2.86,410
2.88,410
2.9,410
2.92,410
2.94,410
2.96,205
2.98,205
3,205
3.02,205
3.04,205
3.06,0
3.08,0
3.1,0
3.12,0
3.14,0
3.16,-205
3.18,-205
3.2,-205
3.22,-205
3.24,-205
3.26,-410
3.28,-410
3.3,-410
3.32,-410
3.34,-410
3.36,-614
3.38,-614
3.4,-614
3.42,-614
3.44,-614
3.46,-819
3.48,-819
3.5,-819
3.52,-819
3.54,-819
3.56,-1024
3.58,-1024
3.6,-1024
3.62,-1024
3.64,-1024
3.66,-1024
3.68,-1229
3.7,-1229
3.72,-1229
3.74,-1229
3.76,-1229
3.78,-1229
3.8,-1434
3.82,-1434
3.84,-1434
3.86,-1434
3.88,-1434
3.9,-1434
3.92,-1638
3.94,-1638
3.96,-1638
3.98,-1638
4,-1638
4.02,-1638
4.04,-1638
4.06,-1638
4.08,-1843
4.1,-1843
4.12,-1843
4.14,-1843
4.16,-1843
4.18,-1843
4.2,-1843
4.22,-1843
4.24,-1843
4.26,-1843
4.28,-2048
4.3,-2048
4.32,-2048
4.34,-2048
4.36,-2048
4.38,-2048
4.4,-2048
4.42,-2048
4.44,-2048
4.46,-2048
4.48,-2048
4.5,-2048
4.52,-2048
4.54,-2048
4.56,-2048
4.58,-2048
4.6,-2048
4.62,-2048
4.64,-2048
4.66,-2048
4.68,-2048
4.7,-2048
4.72,-2048
4.74,-2048
4.76,-2048
4.78,-2048
4.8,-2048
4.82,-2048
4.84,-2048
4.86,-2048
4.88,-2048
4.9,-2048
4.92,-2048
4.94,-2048
4.96,-2048
4.98,-2048
5,-2048
5.02,-2048
5.04,-2048
5.06,-2048
5.08,-2048
5.1,-2048
5.12,-2048
5.14,-2048
5.16,-2048
5.18,-1843
5.2,-1843
5.22,-1843
5.24,-1843
5.26,-1843
5.28,-1843
5.3,-1843
5.32,-1843
5.34,-1843
5.36,-1638
5.38,-1638
5.4,-1638
5.42,-1638
5.44,-1638
5.46,-1638
5.48,-1638
5.5,-1638
5.52,-1434
5.54,-1434
5.56,-1434
5.58,-1434
5.6,-1434
5.62,-1434
5.64,-1229
5.66,-1229
