Time(s),ThrCmd_Percent_Value_write
0,0
0.02,-0.019998666
0.04,-0.04078928
0.06,-0.062363524
0.08,-0.084712774
0.1,-0.107828081
0.12,-0.131700203
0.14,-0.156319603
0.16,-0.181676418
0.18,-0.207760513
0.2,-0.234561458
0.22,-0.26206851
0.24,-0.290270716
0.26,-0.319156736
0.28,-0.348715067
0.3,-0.378933847
0.32,-0.409801006
0.34,-0.441304207
0.36,-0.473430812
0.38,-0.506168008
0.4,-0.53950274
0.42,-0.573421538
0.44,-0.607910991
0.46,-0.642957211
0.48,-0.67854619
0.5,-0.714663744
0.52,-0.751295388
0.54,-0.788426459
0.56,-0.826042116
0.58,-0.864127278
0.6,-0.902666807
0.62,-0.941645145
0.64,-0.981046796
0.66,-1.020856023
0.68,-1.061056852
0.7,-1.10163331
0.72,-1.142568946
0.74,-1.183847666
0.76,-1.225452662
0.78,-1.267367482
0.8,-1.309575319
0.82,-1.352059364
0.84,-1.394802451
0.86,-1.437787652
0.88,-1.480997801
0.9,-1.524415255
0.92,-1.568023086
0.94,-1.611803651
0.96,-1.655739427
0.98,-1.699812889
1,-1.744006395
1.02,-1.788302183
1.04,-1.832682848
1.06,-1.877130151
1.08,-1.921626806
1.1,-1.966154575
1.12,-2.010695934
1.14,-2.055233002
1.16,-2.099748135
1.18,-2.144223213
1.2,-2.188640356
1.22,-2.232982159
1.24,-2.27723074
1.26,-2.321368456
1.28,-2.365377665
1.3,-2.409240723
1.32,-2.452939749
1.34,-2.496457815
1.36,-2.539777279
1.38,-2.582880735
1.4,-2.625751019
1.42,-2.668371201
1.44,-2.710723639
1.46,-2.752791882
1.48,-2.79455924
1.5,-2.836008549
1.52,-2.877123594
1.54,-2.917887688
1.56,-2.958284616
1.58,-2.998298168
1.6,-3.037912369
1.62,-3.077111721
1.64,-3.115880013
1.66,-3.154201984
1.68,-3.192061901
1.7,-3.229445457
1.72,-3.266336918
1.74,-3.302721977
1.76,-3.338585854
1.78,-3.373914242
1.8,-3.408693075
1.82,-3.442908525
1.84,-3.476547003
1.86,-3.50959444
1.88,-3.542038202
1.9,-3.573865175
1.92,-3.605062723
1.94,-3.635617971
1.96,-3.665519238
1.98,-3.694754124
2,-3.723311186
2.02,-3.751178741
2.04,-3.778346062
2.06,-3.804801941
2.08,-3.830535889
2.1,-3.855537415
2.12,-3.879796982
2.14,-3.903304577
2.16,-3.926050901
2.18,-3.948026657
2.2,-3.969223499
2.22,-3.989632368
2.24,-4.009245396
2.26,-4.028054714
2.28,-4.046052933
2.3,-4.063232422
2.32,-4.079586983
2.34,-4.095109463
2.36,-4.10979414
2.38,-4.123634815
2.4,-4.136626244
2.42,-4.148762703
2.44,-4.160039425
2.46,-4.170452595
2.48,-4.179997444
2.5,-4.188670158
2.52,-4.196467876
2.54,-4.203386784
2.56,-4.209424019
2.58,-4.214578152
2.6,-4.218845844
2.62,-4.222226143
2.64,-4.224717617
2.66,-4.226319313
2.68,-4.227030277
2.7,-4.22685051
2.72,-4.22578001
2.74,-4.223819256
2.76,-4.220968723
2.78,-4.21723032
2.8,-4.212604523
2.82,-4.207094193
2.84,-4.200700283
2.86,-4.193426609
2.88,-4.185275555
2.9,-4.176250458
2.92,-4.166354656
2.94,-4.155592442
2.96,-4.143967628
2.98,-4.131485462
3,-4.118151188
3.02,-4.103969097
3.04,-4.088945389
3.06,-4.073086262
3.08,-4.056398392
3.1,-4.038887024
3.12,-4.020560741
3.14,-4.00142622
3.16,-3.981490612
3.18,-3.960762978
3.2,-3.939250708
3.22,-3.916962862
3.24,-3.893908262
3.26,-3.870095968
3.28,-3.845535755
3.3,-3.820237398
3.32,-3.794210911
3.34,-3.767466545
3.36,-3.740015507
3.38,-3.711868286
3.4,-3.683036327
3.42,-3.653531075
3.44,-3.623364449
3.46,-3.59254837
3.48,-3.561095238
3.5,-3.529017925
3.52,-3.496328592
3.54,-3.463041067
3.56,-3.429168224
3.58,-3.394723892
3.6,-3.359721422
3.62,-3.324174881
3.64,-3.288098812
3.66,-3.251507521
3.68,-3.214415789
3.7,-3.17683816
3.72,-3.138789654
3.74,-3.100285769
3.76,-3.061341763
3.78,-3.021973133
3.8,-2.982195854
3.82,-2.942025661
3.84,-2.901478529
3.86,-2.860570908
3.88,-2.81931901
3.9,-2.777739525
3.92,-2.735848665
3.94,-2.693663359
3.96,-2.651200771
3.98,-2.608477831
4,-2.565511227
4.02,-2.522318602
4.04,-2.478916883
4.06,-2.435323715
4.08,-2.391556263
4.1,-2.34763217
4.12,-2.303569078
4.14,-2.259384632
4.16,-2.215095997
4.18,-2.170721769
4.2,-2.126278877
4.22,-2.081785679
4.24,-2.037259579
4.26,-1.992718697
4.28,-1.948180676
4.3,-1.903663278
4.32,-1.859184504
4.34,-1.814761877
4.36,-1.770413518
4.38,-1.726156712
4.4,-1.682009578
4.42,-1.63798964
4.44,-1.594114304
4.46,-1.550401211
4.48,-1.506868124
4.5,-1.463532329
4.52,-1.42041111
4.54,-1.377521515
4.56,-1.334881067
4.58,-1.292506456
4.6,-1.250414848
4.62,-1.208622932
4.64,-1.167147517
4.66,-1.126005292
4.68,-1.085212708
4.7,-1.044785976
4.72,-1.004741311
4.74,-0.965094626
4.76,-0.925861955
4.78,-0.887058854
4.8,-0.848700821
4.82,-0.810803354
4.84,-0.773381591
4.86,-0.736450315
4.88,-0.700024486
4.9,-0.664118528
4.92,-0.628746986
4.94,-0.593923807
4.96,-0.559662998
4.98,-0.525978386
5,-0.492883205
5.02,-0.460390866
5.04,-0.428514302
5.06,-0.397266328
5.08,-0.366659403
5.1,-0.336705744
