Time(s),TPS_Percent_Value
0,0
0.02,0.019998667
0.04,0.039989334
0.06,0.059964006
0.08,0.079914694
0.1,0.099833417
0.12,0.119712207
0.14,0.139543115
0.16,0.159318207
0.18,0.179029573
0.2,0.198669331
0.22,0.218229623
0.24,0.237702626
0.26,0.257080552
0.28,0.276355649
0.3,0.295520207
0.32,0.314566561
0.34,0.333487092
0.36,0.352274233
0.38,0.370920469
0.4,0.389418342
0.42,0.407760453
0.44,0.425939465
0.46,0.443948107
0.48,0.461779176
0.5,0.479425539
0.52,0.496880138
0.54,0.514135992
0.56,0.531186198
0.58,0.548023937
0.6,0.564642473
0.62,0.581035161
0.64,0.597195441
0.66,0.613116852
0.68,0.628793024
0.7,0.644217687
0.72,0.659384672
0.74,0.674287912
0.76,0.688921445
0.78,0.703279419
0.8,0.717356091
0.82,0.73114583
0.84,0.74464312
0.86,0.757842563
0.88,0.770738879
0.9,0.78332691
0.92,0.79560162
0.94,0.8075581
0.96,0.819191568
0.98,0.83049737
1,0.841470985
1.02,0.852108022
1.04,0.862404227
1.06,0.872355482
1.08,0.881957807
1.1,0.89120736
1.12,0.900100442
1.14,0.908633496
1.16,0.916803109
1.18,0.924606012
1.2,0.932039086
1.22,0.939099356
1.24,0.945783999
1.26,0.952090342
1.28,0.95801586
1.3,0.963558185
1.32,0.9687151
1.34,0.973484542
1.36,0.977864602
1.38,0.98185353
1.4,0.98544973
1.42,0.988651763
1.44,0.991458348
1.46,0.993868363
1.48,0.995880845
1.5,0.997494987
1.52,0.998710144
1.54,0.999525831
1.56,0.99994172
1.58,0.999957646
1.6,0.999573603
1.62,0.998789743
1.64,0.997606381
1.66,0.99602399
1.68,0.994043202
1.7,0.99166481
1.72,0.988889766
1.74,0.985719179
1.76,0.982154317
1.78,0.978196607
1.8,0.973847631
1.82,0.969109129
1.84,0.963982996
1.86,0.958471283
1.88,0.952576194
1.9,0.946300088
1.92,0.939645474
1.94,0.932615014
1.96,0.925211521
1.98,0.917437955
2,0.909297427
2.02,0.900793192
2.04,0.891928651
2.06,0.882707351
2.08,0.87313298
2.1,0.863209367
2.12,0.852940482
2.14,0.842330432
2.16,0.831383461
2.18,0.820103948
2.2,0.808496404
2.22,0.796565472
2.24,0.784315925
2.26,0.771752662
2.28,0.758880708
2.3,0.745705212
2.32,0.732231444
