Time(s),pport,pport1
0,0,0
0.02,0,0
0.04,0,0
0.06,0,0
0.08,0,0
0.1,0,0
0.12,0,0
0.14,0,0
0.16,0,0
0.18,0,0
0.2,0,0
0.22,0,0
0.24,0,0
0.26,0,0
0.28,0,0
0.3,0,0
0.32,0,0
0.34,0,0
0.36,0,0
0.38,0,0
0.4,0,0
0.42,0,0
0.44,0,0
0.46,0,0
0.48,0,0
0.5,0,0
0.52,0,0
0.54,0,0
0.56,0,0
0.58,0,0
0.6,0,0
0.62,0,0
0.64,0,0
0.66,0,0
0.68,0,0
0.7,0,0
0.72,0,0
0.74,0,0
0.76,0,0
0.78,0,0
0.8,0,0
0.82,0,0
0.84,0,0
0.86,0,0
0.88,0,0
0.9,0,0
0.92,0,0
0.94,0,0
0.96,0,0
0.98,0,0
1,17,2
1.02,17,2
1.04,17,2
1.06,17,2
1.08,17,2
1.1,17,2
1.12,17,2
1.14,17,2
1.16,17,2
1.18,17,2
1.2,17,2
1.22,17,2
1.24,17,2
1.26,17,2
1.28,17,2
1.3,17,2
1.32,17,2
1.34,17,2
1.36,17,2
1.38,17,2
1.4,17,2
1.42,17,2
1.44,17,2
1.46,17,2
1.48,17,2
1.5,17,2
1.52,17,2
1.54,17,2
1.56,17,2
1.58,17,2
1.6,17,2
1.62,17,2
1.64,17,2
1.66,17,2
1.68,17,2
1.7,17,2
1.72,17,2
1.74,17,2
1.76,17,2
1.78,17,2
1.8,17,2
1.82,17,2
1.84,17,2
1.86,17,2
1.88,17,2
1.9,17,2
1.92,17,2
1.94,17,2
1.96,17,2
1.98,17,2
2,17,2
2.02,17,2
2.04,17,2
2.06,17,2
2.08,17,2
2.1,17,2
2.12,17,2
2.14,17,2
2.16,17,2
2.18,17,2
2.2,17,2
2.22,17,2
2.24,17,2
2.26,17,2
2.28,17,2
2.3,17,2
2.32,17,2
2.34,17,2
2.36,17,2
2.38,17,2
2.4,17,2
2.42,17,2
2.44,17,2
2.46,17,2
